Product Name,Manufacturing Date,Expiry Date,Description
Fanta,2024-09-01,2026-01-06,Best-selling product with high durability.
Fanta,2024-06-30,2026-04-29,Eco-friendly and sustainable product design.
Coca-Cola,2024-11-18,2026-04-18,Best-selling product with high durability.
Fanta,2025-01-29,2026-05-26,Best-selling product with high durability.
Sprite,2025-01-31,2026-03-06,Eco-friendly and sustainable product design.
Sauce,2024-09-22,2025-10-18,High-quality product with premium materials.
banana,2025-01-07,2025-01-04,Eco-friendly and sustainable product design.
apple,2024-08-31,2026-09-11,Limited edition item with exclusive features.
orange,2024-08-04,2026-03-06,Budget-friendly with great performance.
orange,2025-01-11,2025-09-20,Eco-friendly and sustainable product design.
orange,2024-09-28,2026-08-27,Budget-friendly with great performance.
Pepsi,2025-01-09,2026-02-05,Budget-friendly with great performance.
Fanta,2024-07-05,2026-10-22,Eco-friendly and sustainable product design.
Fanta,2024-09-02,2026-06-20,Budget-friendly with great performance.
handbag,2024-12-18,2025-10-11,High-quality product with premium materials.
pizza,2024-12-14,2025-05-28,Eco-friendly and sustainable product design.
pizza,2024-12-23,2026-06-18,Latest model with advanced technology.
pizza,2025-01-09,2025-09-29,Latest model with advanced technology.
pizza,2024-07-17,2025-08-26,Best-selling product with high durability.
Sauce,2024-12-23,2026-07-04,Budget-friendly with great performance.
refrigerator,2024-09-02,2025-04-12,Eco-friendly and sustainable product design.
Coca-Cola,2024-11-28,2025-06-05,Latest model with advanced technology.
orange,2024-09-24,2025-08-28,Eco-friendly and sustainable product design.
apple,2024-12-30,2025-02-13,Latest model with advanced technology.
apple,2024-12-17,2026-05-13,Latest model with advanced technology.
apple,2024-07-05,2025-08-14,Eco-friendly and sustainable product design.
apple,2025-01-29,2026-10-13,High-quality product with premium materials.
orange,2024-06-17,2025-12-12,Budget-friendly with great performance.
apple,2024-07-01,2026-05-12,Budget-friendly with great performance.
apple,2024-10-23,2025-04-21,Limited edition item with exclusive features.
apple,2024-07-30,2025-11-15,Eco-friendly and sustainable product design.
orange,2024-07-18,2025-06-01,Eco-friendly and sustainable product design.
apple,2024-07-18,2025-11-02,High-quality product with premium materials.
apple,2024-12-31,2026-02-15,Best-selling product with high durability.
banana,2024-12-23,2026-08-31,High-quality product with premium materials.
orange,2025-01-25,2025-05-18,Budget-friendly with great performance.
banana,2024-12-09,2026-02-05,Limited edition item with exclusive features.
orange,2025-01-23,2026-01-05,Best-selling product with high durability.
banana,2024-09-30,2026-04-11,Limited edition item with exclusive features.
apple,2024-10-29,2025-12-28,Latest model with advanced technology.
apple,2024-09-30,2026-10-11,Latest model with advanced technology.
apple,2024-06-04,2026-08-16,Limited edition item with exclusive features.
orange,2024-10-08,2026-08-15,Eco-friendly and sustainable product design.
banana,2024-12-12,2025-05-15,High-quality product with premium materials.
broccoli,2024-07-01,2025-08-06,Limited edition item with exclusive features.
broccoli,2024-08-06,2026-06-26,High-quality product with premium materials.
broccoli,2024-11-20,2025-01-29,Eco-friendly and sustainable product design.
apple,2024-09-08,2026-08-25,Best-selling product with high durability.
apple,2025-01-09,2025-08-10,Eco-friendly and sustainable product design.
orange,2024-12-23,2025-05-31,High-quality product with premium materials.
sandwich,2024-07-16,2025-03-30,Latest model with advanced technology.
